Gen	Fittest  	F0QLam	Perfor	BestPrf  	F0QLam	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
0 	     1076	0.2218	0.2218	     1076	0.2218	0.2218	0	0	2	2	0	4.0	1/49	1/1	0	16/17/19	2697.806	6 05:52:41	42MB 	0.10356630682945252
1 	     1220	0.2392	0.2392	     1220	0.2392	0.2392	0	0	10	8	0	4.4	1/35	1/2	2	16/19/21	393.729	5 16:23:32	93MB 	0.15994677424430848
2 	     1287	0.2379	0.2379	     1287	0.2379	0.2379	0	0	14	4	0	5.2	1/11	1/3	5	16/19/22	410.370	5 04:23:36	137MB 	0.15857274532318116
3 	     1328	0.2332	0.2332	     1328	0.2332	0.2332	0	0	15	1	0	6.2	1/10	1/4	5	15/19/22	409.208	4 17:37:40	30MB 	0.1603325855731964
4 	     1280	0.2588	0.2588	     1280	0.2588	0.2588	0	0	15	0	0	7.5	1/19	2/5	5	17/20/23	451.273	4 08:12:10	132MB 	0.1650387037034128
5 	     1388	0.2217	0.2217	     1388	0.2217	0.2217	0	0	15	0	0	9.0	1/28	3/6	2	17/18/23	459.124	3 23:47:28	59MB 	0.1611466080534692
6 	     1510	0.2531	0.2531	     1510	0.2531	0.2531	0	0	15	0	0	10.8	1/36	4/7	3	17/20/24	474.657	3 16:19:40	30MB 	0.16435247776555081
7 	     1341	0.2407	0.2407	     1341	0.2407	0.2407	0	0	15	0	0	12.9	1/21	5/8	4	17/21/25	479.783	3 09:39:26	38MB 	0.1764795043889214
8 	     1588	0.2454	0.2454	     1588	0.2454	0.2454	0	0	15	0	0	15.5	1/13	6/9	3	17/20/23	488.962	3 03:43:07	107MB 	0.17154964512469723
9 	     1287	0.2484	0.2484	     1287	0.2484	0.2484	0	0	15	0	0	18.6	1/37	7/10	2	16/20/24	494.027	2 22:24:46	68MB 	0.15322348650764017
10 	     1680	0.2501	0.2501	     1680	0.2501	0.2501	0	0	15	0	0	22.3	1/37	8/11	1	17/22/25	506.732	2 17:42:51	151MB 	0.16677457912295474
11 	     1596	0.2685	0.2685	     1596	0.2685	0.2685	0	0	15	0	0	26.8	1/37	9/12	1	16/21/25	465.513	2 13:16:32	112MB 	0.1515818016201842
12 	     1621	0.2501	0.2501	     1621	0.2501	0.2501	0	0	15	0	0	32.1	1/37	10/13	3	17/21/25	479.627	2 09:21:39	118MB 	0.17236663313472972
13 	     1838	0.2630	0.2630	     1838	0.2630	0.2630	0	0	15	0	0	38.6	1/37	11/14	1	16/21/25	489.480	2 05:53:34	62MB 	0.1586476821525424
14 	     1858	0.2401	0.2401	     1858	0.2401	0.2401	0	0	15	0	0	46.3	1/37	12/15	0	16/21/25	502.048	2 02:50:17	98MB 	0.16193290434631646
